,Structure,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,Main Dish,Idli Sambar,"Poha, Matki Usal","Gobi Paratha, Dahi",Poori Bhaji,"Paneer Paratha, Dahi",Onion Uttapam,Sabudana Khichadi-Dahi/Vermicelli Upma 
Breakfast,"BBJ,Tea, Coffee, Milk","BBJ, Tea, Coffee","BBJ, Tea, Coffee","BBJ, Tea, Coffee","BBJ, Tea, Coffee","BBJ, Tea, Coffee","BBJ, Tea, Coffee","BBJ, Tea, Coffee"
Breakfast,Sprouts,Sprouted Moong,Sweet Corn,Boiled Groundnut,Sweet Corn,Boiled Black Chana,Sprouted Moong,Boiled Ground nuts
Breakfast,Egg/Omelette/Bhurji,Egg/Omelette,Egg/Omelette,Egg/Omelette,Egg/Bhurji,Egg/Bhurji,Egg/Omelette,Egg/Bhurji
Breakfast,Fruit,Apple,Banana,Banana,Apple,Banana,Banana,Banana
Lunch,Main Dish,Paneer Butter Masala,"Rajma, Potato Schejwan","Kadhi Pakoda,  Matki Usal Dry","Aloo Tomato, Bhindi Fry",Veg Korma,Chhole,"Dry Moong Methi, Veg. Makhanwala"
Lunch,Roti/Puri/Etc.,Butter Kulcha,Methi Puri,Roti,Plain Paratha,Roti,Bhature,Roti
Lunch,Rice,Veg Pulao,Onion Corn Rice,Tomato Rice,Jeera Rice,Jaipuri Meva Pula,Jeera Rice,Coconut Rice
Lunch,Dal,Dal Fry,Dal Kolhapuri,Pancharangi Dal,Dal Fry,Chana Dal,Dal Fry,Dal Tadka
Lunch,Curd/Lassi/Raita,,Rasna,,Chaas,,Lassi,Plain Dahi
Lunch,Salad,Sprouted salad,"Cucumber, Tomato, Onion","Cucumber, Carrot, Onion","Cucumber, Beet Root, Onion","Cucumber, Carrot, Onion",Sprouted salad,"Cucumber, Radish, Onion"
Lunch,Papad,Roasted Papad,Fryums,Masala Papad,Roasted Papad,,,Roasted Papad
Lunch,Sweet Dish,AAMRAS,Shrikhand,AAMRAS,Gajar Halwa,AAMRAS,Kalakand barfi,Rasna
Lunch,Chutney/Pickle,Fried Green Chillies,Green Chilly Thecha,Fried Green Chillies,Green Chilly Thecha,Fried Green Chillies,Fried Green Chillies,Fried Green Chillies
Lunch,Extras,Omelette/Bhurji,Omelette/Bhurji,"Omelette/Bhurji, Paneer Bhurji",Omelette/Bhurji,Omelette/Bhurji,Omelette/Bhurji,Omelette/Bhurji
Tiffin,Main Snack,Dahi Wada / Vada Pav,Bread Pakoda,"Plain Maggie,Veg Maggie",Samosa/Kachori,Cheese Sandwich,"Masala Dosa, Sambar",Pani Puri
Tiffin,"BBJ, Milk, Tea, Coffee,Egg","BBJ, Tea, Milk, Coffee","BBJ, Tea, Milk, Coffee","BBJ, Tea, Milk, Coffee","BBJ, Tea, Milk, Coffee","BBJ, Tea, Milk, Coffee","BBJ, Tea, Milk, Coffee","BBJ, Tea, Milk, Coffee"
Tiffin,Juice/Milkshake,"Lemon Ice Tea, Peanut Butter, Rasna",Badam Milk Shake ,Orange Juice,"Chocolate Milkshake and Rasna, Peanut Butter", Chikoo Shake/Pineapple Juice,Cold Coffee,Banana Milkshake
Dinner,Main Dish,"Mix Veg, Tomato Chutney","Baby Corn Chilly, Cabbage",Paneer Tikka/Paneer Lababdar,"Chana Masala, Tomato Chutney","Kadhai Mushroom, Veg. Kolhapuri",Green Peas/Onion Paratha,"Veg Hyderabadi, Tawa Veg"
Dinner,Roti/Puri/Etc.,Roti,Roti,Butter Nan,Roti,Tandoori Butter Roti,Sweet Corn Soup,Plain Paratha
Dinner,Rice,Dal Khichdi,Lemon Rice,Neutrela Rice,Curd Rice,Fried Rice,Veg Biryani,Dal Khichadi
Dinner,Dal/Raita,Tur Dal,"Chana Dal,Boondi/Pineapple Raita",Dal Fry,Dal Makhani,Dal Fry,"Chana Dal, Veg/Palak Raita",Masoor Dal
Dinner,Salad,"Cucumber, Carrot, Onion","Cucumber, Carrot, Onion","Cucumber, Carrot, Onion","Cucumber, Carrot, Onion","Cucumber, Carrot, Onion, Green Chilly Thecha ","Cucumber, Carrot, Onion","Cucumber, Carrot, Onion"
Dinner,Papad,Masala Papad,Fried Papad,,Masala Papad,Roasted Papad,,Fried Papad
Dinner,Fruit,Orange,Anaar,Watermelon,Grapes,Mango,Pineapple,Musk Melon
Dinner,Sweet Dish,Ice Cream,AAMRAS,Cold Drink, AAMRAS,Rabdi,  AAMRAS, Puran poli and AAMRAS
Dinner,Extras,Chicken Butter Masala,"KFC,McD",Veg Crispy,"Chicken Biryani, Veg Raita",Paneer Chilly Dry,Chicken Soup,Egg Curry
